"","unique.data_kraemer.species.","unique.data_kraemer.species..1"
"1","amastroides","amastroides"
"2","curtus","curtus"
"3","nux basiplicatus SL","nux basiplicatus SL"
"4","perspectivus","perspectivus"
"5","chemnitzioides","chemnitzioides"
"6","nilsodhneri","nilsodhneri"
"7","cf. nesioticus SC E","cf. nesioticus SC E"
"8","reibischi","reibischi"
"9","unifasciatus","unifasciatus"
"10","nux","nux"
"11","calvus","calvus"
"12","asperatus","asperatus"
"13","nucula","nucula"
"14","cf perspectivus FL","cf perspectivus FL"
"15","tortuganus","tortuganus"
"16","albermarlensis","albermarlensis"
"17","simrothi","simrothi"
"18","wolfi","wolfi"
"19","hirsutus","hirsutus"
"20","cf. nesioticus SC W","cf. nesioticus SC W"
"21","eos","eos"
"22","planospira","planospira"
"23","ustulatus pallescens","ustulatus pallescens"
"24","ustulatus phlegonis","ustulatus phlegonis"
"25","ustulatus mahogany","ustulatus mahogany"
"26","sp nov Pinzon","sp nov Pinzon"
"27","rabidensis","rabidensis"
"28","pinzonensis","pinzonensis"
"29","pinzonopsis","pinzonopsis"
"30","unknownblack","unknownblack"
"31","tanneri","tanneri"
"32","ochsneri","ochsneri"
"33","eschariferus ventrosus","eschariferus ventrosus"
"34","perrus 1","perrus 1"
"35","perrus 2","perrus 2"
"36","pallidus","pallidus"
"37","rugatinus","rugatinus"
"38","AL sp.2","AL sp.2"
"39","AL sp.3","AL sp.3"
"40","darwini","darwini"
"41","cf. nesioticus 'little'","cf. nesioticus 'little'"
"42","indefatigabilis","indefatigabilis"
"43","olla","olla"
"44","rugiferus","rugiferus"
"45","nesioticus","nesioticus"
"46","sculpturatus","sculpturatus"
